"hora","tempo_ida","tempo_volta","velocidade_ida","velocidade_volta"
"00:00:00",36,42,32.7,32.6
"01:00:00",36,42,32.7,32.6
"02:00:00",36,42,32.7,32.6
"03:00:00",36,42,32.7,32.6
"04:00:00",37.8,44.1,31.1,31
"05:00:00",48.6,56.7,24.2,24.1
"06:00:00",68.4,79.8,17.2,17.1
"07:00:00",90.72,105.84,13,12.9
"08:00:00",66.96,78.12,17.6,17.5
"09:00:00",61.2,71.4,19.2,19.2
"10:00:00",50.76,59.22,23.2,23.1
"11:00:00",49.32,57.54,23.8,23.8
"12:00:00",49.68,57.96,23.7,23.6
"13:00:00",47.16,55.02,24.9,24.9
"14:00:00",48.6,56.7,24.2,24.1
"15:00:00",50.04,58.38,23.5,23.4
"16:00:00",64.08,74.76,18.4,18.3
"17:00:00",66.96,78.12,17.6,17.5
"18:00:00",81,94.5,14.5,14.5
"19:00:00",74.52,86.94,15.8,15.7
"20:00:00",54.72,63.84,21.5,21.4
"21:00:00",39.6,46.2,29.7,29.6
"22:00:00",36,42,32.7,32.6
"23:00:00",36,42,32.7,32.6
