"hora","tempo_ida","tempo_volta","velocidade_ida","velocidade_volta"
"00:00:00",46,49,33.1,29.9
"01:00:00",46,49,33.1,29.9
"02:00:00",46,49,33.1,29.9
"03:00:00",46,49,33.1,29.9
"04:00:00",46,49,33.1,29.9
"05:00:00",58.88,62.72,25.9,23.3
"06:00:00",76.36,81.34,20,18
"07:00:00",92,98,16.6,14.9
"08:00:00",87.86,93.59,17.3,15.6
"09:00:00",77.74,82.81,19.6,17.7
"10:00:00",69,73.5,22.1,19.9
"11:00:00",62.56,66.64,24.4,22
"12:00:00",62.56,66.64,24.4,22
"13:00:00",62.1,66.15,24.5,22.1
"14:00:00",61.64,65.66,24.7,22.3
"15:00:00",62.56,66.64,24.4,22
"16:00:00",78.66,83.79,19.4,17.5
"17:00:00",99.82,106.33,15.3,13.8
"18:00:00",101.66,108.29,15,13.5
"19:00:00",92,98,16.6,14.9
"20:00:00",67.16,71.54,22.7,20.5
"21:00:00",53.36,56.84,28.6,25.8
"22:00:00",46,49,33.1,29.9
"23:00:00",46,49,33.1,29.9
