"hora","tempo_ida","tempo_volta","velocidade_ida","velocidade_volta"
"00:00:00",52,57,33.8,36.4
"01:00:00",52,57,33.8,36.4
"02:00:00",52,57,33.8,36.4
"03:00:00",52,57,33.8,36.4
"04:00:00",52,57,33.8,36.4
"05:00:00",60.84,66.69,28.9,31.1
"06:00:00",72.8,79.8,24.1,26
"07:00:00",110.76,121.41,15.9,17.1
"08:00:00",138.84,152.19,12.7,13.6
"09:00:00",109.2,119.7,16.1,17.3
"10:00:00",89.96,98.61,19.5,21.1
"11:00:00",70.72,77.52,24.9,26.8
"12:00:00",70.2,76.95,25,27
"13:00:00",72.28,79.23,24.3,26.2
"14:00:00",67.6,74.1,26,28
"15:00:00",71.76,78.66,24.5,26.4
"16:00:00",89.44,98.04,19.7,21.2
"17:00:00",111.8,122.55,15.7,16.9
"18:00:00",114.4,125.4,15.4,16.6
"19:00:00",96.2,105.45,18.3,19.7
"20:00:00",74.36,81.51,23.6,25.5
"21:00:00",58.76,64.41,29.9,32.2
"22:00:00",52,57,33.8,36.4
"23:00:00",52,57,33.8,36.4
